序号,名字,作品数,粉丝数,关注数,简介,主页链接
17,影视解说,25,2.7万,4,,https://www.kuaishou.com/profile/3xf7sqvgskhpj7i
18,快点影视解说,107,53.2万,42,😘 精挑细选每一部！ 💗 说你想听的，做你想看的！ 🙏 感谢平台！感谢大家的关注！,https://www.kuaishou.com/profile/3xebx6ygx5npine
19,春光影视解说（收徒）,248,26万,1432,👉三国演义 更新中 👉爱粉丝 爱剪辑 👉每日更新 感谢观看 👉感恩官方 感谢遇见,https://www.kuaishou.com/profile/3xnwh7pb7s6uh7y
20,小郎君影视解说,806,38.8万,28,专注影视解说，奇幻，悬疑，喜剧，治愈,https://www.kuaishou.com/profile/3xuny7begbv67yq
21,偏偏影视解说（收徒）,222,16.4万,2381,影视解说爱好者(招学员） 文案不用你写，素材我提供 快手号同步v   欢迎来扰,https://www.kuaishou.com/profile/3xprkt7n45ps5x2
22,村草影视解说,2744,262.2万,21,合作请注明具体项目:suiyuan056868 不说明来意勿扰。 评论和私信请自重，定清清理不良言论(拉黑 ),https://www.kuaishou.com/profile/3xjdy4nuc92w9ma
23,影视解说,10,9.4万,81,用心精选最好的商品，只为给您最好的选择 让客户满意才是我们最终的目的 📞 有赞订单查询方法 👉1:打开快手，点击左上角三条杠 👉2:点击设置 👉3:点击快手小店（买家版） 👉4:全部订单 让客户满意才是我们的最终目的,https://www.kuaishou.com/profile/3xuq22nv38y4ehi
24,影视解说,35,1.9万,14,点个关注吧☺️,https://www.kuaishou.com/profile/3xsaetzxczuvyss
25,影视解说,6,3.8万,7,每日分享 感谢快手平台❤️ +v15696148413,https://www.kuaishou.com/profile/3xu3ypgc8afrc3e
26,影视解说视频,2,9.6万,570,网络素材，侵权联系删,https://www.kuaishou.com/profile/3xvjebzrmnvx4g6
27,影视解说,28,2万,57,一个喜爱动物的铲屎官，  感谢关注,https://www.kuaishou.com/profile/3x6r4kn25b9i899
28,影视解说,0,4.6万,28,,https://www.kuaishou.com/profile/3xzwar3j9xfmgwu
29,疯子影视解说,593,24.6万,79,感谢快手官方，我会每天更新， 感谢有你观看，我们成为朋友。,https://www.kuaishou.com/profile/3xvyqzwwxih2qke
30,影视解说,100,2.8万,41,谢谢你的关注❤️ 一部手机制作电影❤️ 每日更新❤️ 如有侵权，联系必删！,https://www.kuaishou.com/profile/3xpdx8kdpw8cuqc
31,影视解说,120,1.9万,83,解说新剧和经典！ 用心解说好每一部片子！ 有缘点个关注，接下来你会变富！,https://www.kuaishou.com/profile/3xageypi9heyd5a
32,大咖（影视解说）,260,17万,145,大咖影视，必出精品！ 带你走进每日精彩集锦分享！ 感受不同剧情带来的乐趣！ 喜欢我就赶快留住我吧！,https://www.kuaishou.com/profile/3xe74q4qm29cnn2
33,抖抖影视解说,5,60.6万,40,👀感谢快手 感谢关注 🎬每日精彩影视更新 🍿学习+♥w 6⃣️8⃣️8⃣️8⃣️7⃣️7⃣️8⃣️,https://www.kuaishou.com/profile/3xqmcd964kjem6k
34,影视解说,44,2.6万,76,艾里传媒机构成员 我们一起看电影吧！ 作品更新中…… 喜欢留个关注再走哦,https://www.kuaishou.com/profile/3xehj7f2es2vaci
35,无名影视解说,965,77.1万,41,真诚分享快乐倍增,https://www.kuaishou.com/profile/3xz28vtcz3r968u
36,影视解说,646,1.9万,4866,❤️，感谢快手正能量 收徒播剧 加V，吆三七叭四贰零八七零零,https://www.kuaishou.com/profile/3xukgtvac988v6k
37,影视解说,7,2.1万,326,❤️关注快手热点和快手管理员获取更多资讯 ❤️快手官方提示仅推荐给有趣的人耐心看完,https://www.kuaishou.com/profile/3xgsvm3tt6q8vsu
38,江心影视解说,1552,18.2万,26,每一帧，都是精彩瞬间,https://www.kuaishou.com/profile/3xbsdjtsx6gg6vs
39,阿伟影视解说,836,19万,36,感谢关注，承蒙厚爱❤ 学习拜师💰jrwai5201314,https://www.kuaishou.com/profile/3x6ubrd4a2x2jy2
40,万象影视解说,33,27.7万,1143,感谢快手官方绿色平台，支持正能量 故事情节  环环相扣 紧盯屏幕  无法自拔 合作/学习交流:1910357315,https://www.kuaishou.com/profile/3x4zx3xrnfcvswg
41,影视解说,243,1.9万,122,感谢快手平台，支持正能量。 感谢关注，有你更精彩！,https://www.kuaishou.com/profile/3x7czeahbcnnwcc
42,十七影视解说,596,23.6万,44,用短的时间，追精彩的剧 感恩关注，不负遇见,https://www.kuaishou.com/profile/3x83zxp2spcwr6e
43,肉肉影视解说（收徒）,0,0,0,🍙 看一部电影 品一段人生 🍙 感谢大家关注与支持！ 🍙感谢快手官方的支持！ 🍙主页有几款小零食可自助挑选   如有侵权 请联系删除 谢谢！,https://www.kuaishou.com/profile/3xbqssnxqcpp94s
44,清纯妖影视解说,1713,21.4万,50,❤️影视解说爱好者～ ❤️感谢关注、感恩平台 合：miaomiaojc666,https://www.kuaishou.com/profile/3xfsxtra7imaeuk
45,海哥影视解说,148,24.3万,98,lhs00011（表明来意） 坚持梦想不负韶华,https://www.kuaishou.com/profile/3xk6zk3adcy5q5u
46,公子影视解说,217,39.5万,509,公子不才  承蒙厚爱  影视剪辑  剧情新怡,https://www.kuaishou.com/profile/3xaujjg9b8m5yda
47,大王影视解说,28,13.9万,43,影视剪辑爱好者 每日更新 经典推荐 只做精品 来了别走哦 承蒙各位朋友喜爱、喜欢的朋友➕关祝 =�感谢快手=�感谢官方,https://www.kuaishou.com/profile/3xcvetgsqv3bvsa
48,也许影视解说,12,10.6万,3393,影视解说不断更。 感谢快手官方，感谢关注！ 如有侵权请联系作者删除！,https://www.kuaishou.com/profile/3x58duyuw7vfpxy
49,明天影视解说,158,14.7万,61,,https://www.kuaishou.com/profile/3xg9m8wqjvvaypg
50,Tao影视解说,0,20,0,,https://www.kuaishou.com/profile/3xxjbgsjvjbchpk
51,波比影视解说,826,14.5万,21,特摄是存在每个少年心中的英雄梦 承蒙厚爱💖 您的支持将是我最大的动力🥰,https://www.kuaishou.com/profile/3xg5vxyvwcdnzbk
52,谦誉影视解说,385,17.7万,37,💋感谢快手平台！ 💋感谢关注！ ✍️每天更新作品！,https://www.kuaishou.com/profile/3xiq329bvtiuu6u
53,解忧影视解说,138,12.3万,9,🎈认真创作每一个作品(✿^‿^) 🙏感谢快手官方🙏感谢每一位粉丝,https://www.kuaishou.com/profile/3xtw47ctf9y79au
54,海牛影视解说,652,20.6万,313,✨海牛影视解说 ✨给你不一样观看体验 ✨用心做好每个视频 ✨感谢快手官方,https://www.kuaishou.com/profile/3xtvtd98c9at2qg
55,洛克影视解说,1400,33万,50,视频剪辑爱好者 希望大家多多支持 合作v:Lx333hhh,https://www.kuaishou.com/profile/3xpvguhvpczdmku
56,烟脂影视解说,216,14.1万,10,欢迎来到我的世界,https://www.kuaishou.com/profile/3x34ks4xre3mtae
57,萍宝影视解说,612,26.2万,307,👩她在关注你哦 感谢官方大大提供这么好的平台！🍓🍓 学习+合作复制快手号去掉两个8！,https://www.kuaishou.com/profile/3xckvnht8k6hexc
58,归途影视解说,362,11.2万,30,一部手机📱就是嘎嘎乱剪  关注我的又好看又帅 都是人才哦 兄弟姐妹们一定要先赞后看，养成习惯哦 全网搜索🔍归途影视解说,https://www.kuaishou.com/profile/3xt2w3mnqh6hzrq
59,观戏影视解说,1587,11.5万,118,,https://www.kuaishou.com/profile/3xiih26wsq8fi86
60,影视,12,54,1,,https://www.kuaishou.com/profile/3xsrhdkk794y43g
61,侠影视解说,1125,12.6万,184,仙侠武侠类影视爱好者 95《神雕侠侣》解说/高清已更完 TVB《倚天屠龙》吴启华已更完 《299收一对一徒弟》,https://www.kuaishou.com/profile/3xzs5zgrzwcmzmu
62,达文西＠影视解说,212,26.2万,196,感谢快手官方！ 分享快乐！所有作品仅作为剪辑交流使用。 如有侵权请联系删除，谢谢。,https://www.kuaishou.com/profile/3x55h8ttnyzuxgk
63,咖啡影视解说,900,61万,27,初来乍到，承蒙厚爱 如有侵权，联系删除,https://www.kuaishou.com/profile/3xmp5y6hihpih26
64,吖吖影视解说💓,689,21.5万,48,用最短的时间，追最精彩的剧！,https://www.kuaishou.com/profile/3x8ckt5gs8wspy4
65,影视解说,1,5,6,谢谢关注,https://www.kuaishou.com/profile/3xwzciv4jbnyf9c
66,青春影视解说,121,31.6万,9,每天更新精彩电影,https://www.kuaishou.com/profile/3xp4gghs8sy53j9
67,影视解说🎐,0,15,944,用最野的路子，解说最火的片子。专注好电影，解救片荒的你！,https://www.kuaishou.com/profile/3xuif98uemqy6tu
68,雨梦影视解说,293,23.8万,18,🍃:感谢官方大大！ 🍃:感谢大家关注点赞！,https://www.kuaishou.com/profile/3x343ctdyd8cjj9
69,亦宁影视解说（低价收图）,286,7.8万,54,❤感谢官方 感谢关注 关注我看更多精彩视频 持续更新每天2~3级集,https://www.kuaishou.com/profile/3xx2x6hrdxpa4a9
70,蝈蝈影视解说,384,28.1万,20,原创不易，搬运必究,https://www.kuaishou.com/profile/3x533b8wu3pdabe
71,影视解说,0,2,0,谢谢你这么好看还关注我,https://www.kuaishou.com/profile/3xj9fhrgwehfb4y
72,月亮湾影视解说,2320,14.1万,44,感谢快手平台 感谢粉丝喜爱,https://www.kuaishou.com/profile/3xzpreiv4xhsjee
73,小畅影视解说,25,25万,52,我要站在想要的高度,https://www.kuaishou.com/profile/3x4shtqfm4fhhhe
74,师兄影视解说,24,12万,10,一个故事一个人生,https://www.kuaishou.com/profile/3x55k5wpm9595ee
75,作妖影视解说,0,30万,59,"感谢快手提供的绿色平台! 看影视,可以改变人！ 每日更新，感谢关注！",https://www.kuaishou.com/profile/3xxiup48mtedn4i
76,杨哥影视解说《κ猫》,302,12.7万,75,学习请把我的师傅带走 威❤ ks20247777777 （请备注杨哥影视解说） 每日更新好剧 感谢快手官方  感谢各位支持”,https://www.kuaishou.com/profile/3xidzxrxf8xkt4s
77,文雯影视解说,336,94.2万,198,🙏🏻感谢快手  感谢官方 🎬坚持原创  不作搬运 如有侵权  联系删除 感谢大家的关注🙏                                                                商业合作❤❤❤,https://www.kuaishou.com/profile/3x6zzsi5n37zvjg
78,逐梦天涯影视解说,7112,10.3万,30,,https://www.kuaishou.com/profile/3xkdt5zxhvbnx39
79,俏乐影视解说,429,48.1万,30,感谢关注！ 好奇心旺盛心怀阳光,https://www.kuaishou.com/profile/3xtjfain77gc2me
80,集维影视解说,717,67.6万,437,❤️感谢快手官方 ❤️精彩电影每日更新 ❤️感谢老铁们的支持 心中有梦何惧艰难,https://www.kuaishou.com/profile/3x8b26c9fsu5vnc
81,子淇影视解说,494,24.7万,27,用心解说每一部视频，喜欢的可以留下来,https://www.kuaishou.com/profile/3xpibxn2xcscsgm
82,DK影视解说,0,27,380,看过千部电影 品尽百味人生 一路感谢有你相伴❤️,https://www.kuaishou.com/profile/3xmibtnxsfeb9r2
83,梦艳影视解说,726,38.7万,360,,https://www.kuaishou.com/profile/3x5ev9zmnkpfht4
84,伊一影视解说,564,26.1万,4339,感谢快手官方，感谢大家的关注，精彩影视剧每日更新，喜欢你就来。,https://www.kuaishou.com/profile/3xsqx88bq3ucqh4
85,大牛（影视解说）,358,17.7万,15,做个独一无二的自己,https://www.kuaishou.com/profile/3x3ji57v7myukru
86,铭铭影视解说,380,110.2万,170,感谢平台 每天更新精彩作品 学习:maimai487 剪辑:电视剧(1-20集涨10万+) 剪辑:精彩片段(只1集也能10万+)(一对一包教会_),https://www.kuaishou.com/profile/3x8i2vvesehv7p9
87,负重前行（影视解说）,862,13.3万,12,影视解说  每天不一样的精彩 经典回顾  带你重温美好回忆 承蒙厚爱 不胜感激,https://www.kuaishou.com/profile/3xxr52x66ym3uge
88,影视解说,3,9,2,,https://www.kuaishou.com/profile/3xrkafwb7ncym6u
89,爱家（影视解说）,1000,11.2万,5048,感谢快手平台,https://www.kuaishou.com/profile/3xw8eu9qg7xthum
90,舅舅（影视解说）,264,42.6万,20,最近有点丧woaini8889992,https://www.kuaishou.com/profile/3xmtdi887md8vck
91,小宝影视解说,714,42.5万,944,每天不定时更新,https://www.kuaishou.com/profile/3xm8uu9sbh49agu
92,老王影视解说,282,20.7万,119,👀每天坚持更新视频 😃坚持原创 😁希望视频能给你们带来快乐 😘喜欢请点️ 看更多请点➕,https://www.kuaishou.com/profile/3xwjauu3uext7ju
93,米虫影视解说,537,33.4万,33,❤️感谢快手官方提供绿色平台。 ❤️每一帧都是热爱，经典原创影视解说。 ❤️我们的相识从一部电影🎬开始。感谢关注。      学习/合作/交流/就缺你啦！,https://www.kuaishou.com/profile/3xfhmzhtc8xvekg
94,师兄影视解说,245,15.3万,40,愿世间的美好与你环环相扣，，， 用心解说每一部剧 ..............................,https://www.kuaishou.com/profile/3x36hsic9sdrxy6
95,鱼眼影视解说,498,11.7万,12,原创作品，请勿搬运！ 听不一样的解说，看不一样的电影🎬 挖掘更多宝藏电影记得留言告诉我 商务yyysmovie（绝版影视资源有偿）,https://www.kuaishou.com/profile/3x66xk2xybwcfmm
96,木子影视解说,694,18.2万,30,感谢大家支持 感谢平台，感谢官方。 热爱影视，坚持原创。,https://www.kuaishou.com/profile/3x7pjp6f366jcqe
97,好云影视解说,493,12.9万,346,🌟专注精彩影视与短剧☀ 🌟精彩视频每天会更新☀,https://www.kuaishou.com/profile/3xw6hybtcficqmc
98,小菡影视解说,88,19.5万,31,每一天都是新的一天,https://www.kuaishou.com/profile/3x3pvth3gjrn2cs
99,小涵影视解说,146,107.4万,344,感谢老铁们支持 。 喜欢看剧的老铁们！ 一起追剧吧❤️ 每晚17.30～19.30准时开播。,https://www.kuaishou.com/profile/3xu6fvzqmyje4sq
100,知恩影视解说,24,17.6万,306,热爱影视解说 感谢大家的关注,https://www.kuaishou.com/profile/3xu5fp7u5w7yrys
101,唐尼影视解说,77,11.2万,37,随手点关注，不做白piáo人 学习剪辑私信我～,https://www.kuaishou.com/profile/3xa7hpxfvtijmds
102,鲜儿影视解说,197,78.5万,16,🌺🌺🌺🌺🌺🌺🌺🌺,https://www.kuaishou.com/profile/3xg5witht7wq9xa
103,柚子女孩❤影视解说,298,17.7万,105,❤❤感谢快手官方  如有侵权请联系删除 ❤❤每天不定时更新，喜欢的点个赞吧，你们的支持是我最大的动力,https://www.kuaishou.com/profile/3xw279tcrupvnbu
104,懒懒影视解说,8,11.9万,1120,❤️感谢快手大大的每一次热门🙏,https://www.kuaishou.com/profile/3xry8kvw9ykew4y
105,凌冬影视解说,595,14.8万,8,盗墓寻宝电影持续更新 惊险刺激电影分享 感恩平台，感谢每一个观看的你！,https://www.kuaishou.com/profile/3xpb98h7gmegdke
106,影视解说,0,3,25,,https://www.kuaishou.com/profile/3x8bky7vnkwgviw
107,橙子影视解说,1183,76.2万,73,❤️感谢快手官方 ❤️感谢大家的关注 ❤️每天持续更新优质作品,https://www.kuaishou.com/profile/3xzn57a7yrzzfus
108,老洪影视解说,5,15.5万,1399,,https://www.kuaishou.com/profile/3xkhb8xffxw29gq
109,影视解说 东,1,10.7万,88,,https://www.kuaishou.com/profile/3xqvs2y6iatvatw
110,晓依影视解说,32,24.9万,334,每天更新精彩视频,https://www.kuaishou.com/profile/3xct5vman536vza
111,慧子影视解说,1431,84.8万,120,❤️感谢快手官方 ❤️用心剪好每一部剧 ❤️坚持原创 每天持续更新优质作品 ❤️感谢快手官方提供绿色平台支持快手传播正能量,https://www.kuaishou.com/profile/3xcmargpjxbi7wc
112,影视,0,6.6万,256,浓缩电影精华 品百味人生,https://www.kuaishou.com/profile/3xfgfgt9g7z4wkm
113,赢心影视解说,1183,13.8万,6772,商务：334877244 店铺营业中有需要自行下单支持🙏🏻 拒绝搬运抄袭，违者必究,https://www.kuaishou.com/profile/3xfiberdy4eutwc
114,佰慕影视解说,148,42.6万,31,✨视频剪辑爱好者 ✨喜欢的朋友们➕关注哦 ✨可搭建同款直播,https://www.kuaishou.com/profile/3xcccgrbx5397qy
115,勇哥 影视解说,184,27.3万,1427,影视剪辑爱好者 每日更新 经典推荐 只做精品 来了别走哦 感谢快手🙏感谢官方🙏🙏🙏,https://www.kuaishou.com/profile/3xkggynyp5nb2i2
116,河马影视解说君,133,18.7万,12,帮你们提取电视剧精彩片段解说💯 带你们快捷追剧💹带你看尽人间百态😭 人称最懂粉丝的影视剪辑号☀,https://www.kuaishou.com/profile/3x7habubps4vmka
117,芳芳影视解说-,14,11.3万,6,,https://www.kuaishou.com/profile/3xtus8jb3wzt2ui
118,敏燕影视解说,43,27.6万,86,每天不定时更新，希望大家喜欢 谢谢你这么好看，还喜欢我,https://www.kuaishou.com/profile/3xmazxm8w5r464g
119,小奇影视解说,58,39.8万,35,🎬一部电影，一个故事！ 🎬想听什么电影和故事，私信我，讲给你听！ 🎬合作:(stk32484),https://www.kuaishou.com/profile/3xduw8i8dryfzna
120,小东影视解说,34,16.1万,472,🔥感谢快手平台  传播正能量 🔥感谢你的关注  每天更新作品 ❤️关注小东给你不一样的世界！,https://www.kuaishou.com/profile/3xrbdaf7b8ph7ii
121,娜娜影视解说,173,26.9万,11,❤️影视创作者 ✨原创高清制作          ✨专注高清影视剧情✨ ❤️用心做好每一个画面 学习合作：请私信（备注来意） 快乐源于内心,https://www.kuaishou.com/profile/3xvzyyxwjywrc7q
122,华夏影视解说,356,48.5万,151,感谢快手平台。 感谢关注和点赞。 新年天天开心,https://www.kuaishou.com/profile/3x9by22znv83pcq
123,钱多多影视解说,56,13.4万,34,一部电影一段人生 看一部电影 品百味人生 谢谢你的关注和支持！,https://www.kuaishou.com/profile/3x48v8e6vstuwzq
124,嘻嘻影视解说,119,43.3万,236,💙感谢官方大大给的每一次热门 💙原创电影解说  持续更新 💙感谢你们的喜欢💕💕,https://www.kuaishou.com/profile/3x7gt7att3nd2r6
125,超级影视解说,42,26.6万,20,❤️艾里传媒机构成员！ ❤️我们一起来追剧！,https://www.kuaishou.com/profile/3xfciwevb72nupc
126,凌枫影视解说,6,15.6万,166,❤️一个影片一个故事。 ❤️商务合作    一部手机做影视解说教学,https://www.kuaishou.com/profile/3x7fm3ikyc6nz9k
127,琳夕影视解说,81,12.4万,11,精彩影视视频，每天更新,https://www.kuaishou.com/profile/3xmz7rfedxjrpju
128,唯唯影视解说,30,11.2万,7,更新优质电影，品味人生百态 关注我，观影不迷路 各位我回来啦 商务合作V:x18791021753,https://www.kuaishou.com/profile/3x5bpvzhrum53vw
129,顶峰影视,603,619.9万,8,感谢快手官方平台❤️ 感谢大家的支持哦❤️,https://www.kuaishou.com/profile/3x87kmzxbqe7769
130,晨光追剧社（影视解说）,247,55.7万,328,⭐️教学商务+Kt0⃣3⃣0⃣4⃣0⃣5⃣ 视频左下角🔗可看全集 感谢快手提供绿色平台,https://www.kuaishou.com/profile/3xiv5qsqmaky79i
131,大白话影视解说,1595,14.7万,38,看别人的故事， 品百味人生。,https://www.kuaishou.com/profile/3xizn95i3q7ras2
132,童话（影视解说）,76,10.6万,27,,https://www.kuaishou.com/profile/3xdg9saaphhbdd6
133,笑果影视解说,115,15.2万,8,阅片无数，带你领略世间繁华。 交流，学习请私信。 代写文案，代剪辑,https://www.kuaishou.com/profile/3xfy9pv5tn4szcq
134,小伟说影视解说,477,8.7万,387,感谢快手官方 感谢大家关注 影视剧每天更新,https://www.kuaishou.com/profile/3xbtjuibc734eaw
135,强强影视解说,110,28.3万,1170,乐观生活 幸福常在,https://www.kuaishou.com/profile/3xc9fjidt2bvzhu
136,妞妞影视解说,135,25万,7729,,https://www.kuaishou.com/profile/3xjsdcmiuyezx2w
137,笑嘻嘻影视解说,632,10.7万,8,带你看各种狗血电视剧，喜欢的话就关注点赞支持吧,https://www.kuaishou.com/profile/3xiefbhpnqhyr7w
138,如愿影视解说,324,24.3万,53,❤艾里传媒机构成员 ❤感谢快手官方 ❤影视剪辑解说爱好者 ❤每日更新经典推荐 感谢朋友们的喜爱 喜欢加个关注,https://www.kuaishou.com/profile/3xcr97k2ybzycj2
139,宝哥影视解说,133,16.6万,1998,🙏在电影中体会百味人生,https://www.kuaishou.com/profile/3xx2q8rr5pybpfu
140,追风影视解说,423,15.8万,885,感谢官方提供绿色正能量平台！ 感谢每一位喜欢我的朋友！   有点小懒但很有意思,https://www.kuaishou.com/profile/3x39bbx4kfdne4w
141,明天影视解说,53,11万,9022,,https://www.kuaishou.com/profile/3xztwsak3nphj5y
142,娇娇影视解说,86,14.2万,16,🌸用心剪辑，用心解说 🌸感谢官方，感谢关注,https://www.kuaishou.com/profile/3xkbwfzdcf2ejt2
143,观映影视解说,285,8.6万,7,影视剪辑爱好者 每日18:00更新 经典推荐 只做精品 来了别走哦 承蒙各位朋友喜爱、喜欢的朋友➕关祝 💕感谢快手💕感谢官方,https://www.kuaishou.com/profile/3xtfchgdjv3r3k9
144,辛巴影视解说,428,61万,289,不要问了，每个视频左下角都可以免费看全集！ 每天更新好剧 感谢你的喜欢！,https://www.kuaishou.com/profile/3xm67chxe3fgdyg
145,茵茵影视解说,18,15.9万,7,,https://www.kuaishou.com/profile/3x2n7uk962umk6e
146,比奇堡影视解说,2.8万,7.7万,241,比奇堡没有明星，因为比奇堡全明星。 快手主页搜“神图壁纸”进小程序输lq0667取图合作/教学/拿图V:LiQiaO01996 (白嫖勿扰)  找我合作上聚星,https://www.kuaishou.com/profile/3xjatf86j9mifws
147,皓哥影视解说,164,18.1万,13,❤️感谢关注、感谢快手 ❤️每天更新、经典影视,https://www.kuaishou.com/profile/3xch6x3uq92pzy9
148,大头影视解说,604,83.9万,4,原创不易 但付出总有回报,https://www.kuaishou.com/profile/3x9usnkjjzw2ktu
149,冰锅影视解说1,120,10.5万,17,爱快手，爱生活。 从容面对勇往直前,https://www.kuaishou.com/profile/3xha4ni9rwrduwa
150,向上影视解说,448,38.3万,483,❤️她正在关注你 ❤️观千部电影，品百味人生。感谢快手官方 ❤️感谢大家的关注，影视剧每日更新。 ❤️如有侵权，请联系删除,https://www.kuaishou.com/profile/3xkia7p23agdf8k
151,红蓝影视解说,269,61.3万,19,喜欢分享好看的电影电视剧！,https://www.kuaishou.com/profile/3x236kkctg3igxi
152,小玲影视解说,0,12万,678,,https://www.kuaishou.com/profile/3xwzsitspqwgzfc
153,田田影视解说,331,6万,296,拼搏吧！你没有退路^ω^ 有需要的可以上小店看看。,https://www.kuaishou.com/profile/3xuea33nugw4t3u
154,小肥牛影视解说,27,10.8万,205,感谢快手平台 专注影视解说 影视精致剪辑,https://www.kuaishou.com/profile/3xiz2ztwamz9hie
155,沙洪影视解说,180,10.1万,25,用有趣的灵魂，做有灵魂的解说。,https://www.kuaishou.com/profile/3x8ge5xw4xaitzg
156,雪儿爱影视解说,1,13.6万,24,影视剪辑,https://www.kuaishou.com/profile/3xrnucctd62rejm
157,阿呆影视解说＠,192,8.3万,114,艾里传媒机构成员 【一江春水向东流，老铁逛完先别走】 【人生若只如初见，加个关注点个赞】 ———🙏感谢大家，感谢平台🙏———,https://www.kuaishou.com/profile/3xe3bz9ven2uz84
158,阿东:影视解说,251,12.4万,1974,感谢快手平台🌴 兴趣爱好：看电影🍀,https://www.kuaishou.com/profile/3xx695kutmeveyc
159,一颗红星影视,616,728.6万,14,🏅全网粉丝超过1500万 🏅历史、影视双领域的优质创作者 🏅连续3年被评为“中国学生最喜爱的主播”,https://www.kuaishou.com/profile/3xhiaqiygaaujtu
160,萧飞影视解说,37,9.9万,515,🌹感谢您的关注  感谢您的红心  🌹在此🙏🙏🙏 🌟快手号领域创造者 🔥一部电影  一段人生 🍀感恩关注  不负遇见 🐯各种精彩剧情给小主呈现🐯   👉不做唯一，只追精彩👈,https://www.kuaishou.com/profile/3xm7m7jznye8xbi
161,玉子影视解说,78,10.4万,9,是本玉！ 一起来看剧！,https://www.kuaishou.com/profile/3xzs39tj8zusmmu
162,胖小胖影视解说,350,13万,19,不忘初心方得始终,https://www.kuaishou.com/profile/3xae83sgkv3tzse
163,露可影视解说,143,11.9万,1004,,https://www.kuaishou.com/profile/3xvm4h9h3zwjuhu
164,小柯影视解说…,575,38.5万,1012,同样的影视，不同的解说， 持续奉献精彩内容,https://www.kuaishou.com/profile/3xcpnzhgrf9i6ai
165,大聖影视解说,266,12.1万,429,铭记历史，缅怀先烈！ 不忘初心，牢记使命！ 勿忘国耻，警钟长鸣！ 讲英雄故事，追最亮的的星！ 感谢您的关注与支持！,https://www.kuaishou.com/profile/3xgqw7tazvzw9zm
166,兰兰影视解说,165,15.3万,6709,,https://www.kuaishou.com/profile/3x8x6sy66cyc2x2
167,小赵影视解说,52,10.4万,192,“收徒中”…… 原创解说、手机制作、学习请私信 每天更新一集。亲们多体谅。抱拳,https://www.kuaishou.com/profile/3xt25x3kh229ji6
168,遇见影视解说,98,11.6万,37,❤️感谢官方正能量！  ❤️每天给大家呈现精彩电影,https://www.kuaishou.com/profile/3xhyqdu6z86yyvg
169,阿文影视解说,112,10.2万,218,持续更新原创作品 搬运必追究 实力教学/合作，Y55551100,https://www.kuaishou.com/profile/3xfjhztr34ztxei
170,＠君君影视解说＠,456,17.9万,789,相遇不易，珍惜且珍惜,https://www.kuaishou.com/profile/3xf6332if3y6mhw
171,青春影视解说,44,12.2万,3420,每一个故事都是一段别样人生。 感谢快手，感谢关注，如有侵权请联系作者删除！,https://www.kuaishou.com/profile/3xcznuwen7j26ky
172,赛麦提江影视解说,91,1.9万,65,影视解说 。semetjan 。,https://www.kuaishou.com/profile/3xubhrdyg7sej26
