用户名,粉丝数量,视频数量,用户简介,主页链接
阿楚说影剧,8561,352,热衷于影视剧解说，认真解读每一部剧，带你领略剧中精彩剧情，每天都会更新，这里是华秦影视！,//space.bilibili.com/450455737
塞尔达传说影业,8464,19,大学生，季更，渴望拥有万粉的新人UP一枚,//space.bilibili.com/543901691
金乐说影,8368,826,同样的电影，不同的解读。一起感受电影的魅力。,//space.bilibili.com/1930307356
云淡风轻说影视,8317,1740,,//space.bilibili.com/618332263
七哥说影,8143,10,一起看电影，电影一起看，谢谢官方,//space.bilibili.com/3546702818577279
斯人说影,8139,12,剪点喜欢的,//space.bilibili.com/1200826649
猫爸说影,8112,186,主页都是美女剪辑，喜欢的朋友给个关注人生自有命,//space.bilibili.com/1975522349
星空说影,8091,618,,//space.bilibili.com/1443899482
深蓝说影,7815,929,一部电影|一个故事感恩遇见|感谢有你,//space.bilibili.com/3494367660608176
晓义说影娱,7337,551,闷声大发财。,//space.bilibili.com/1814609010
神鹰说影视,7112,151,,//space.bilibili.com/2022192619
阿柒说影,7100,457,风格不定每一帧都是热爱?如果有你喜欢的电影就关注我吧,//space.bilibili.com/3546852156770311
糖豆说影视,6716,38,专注于深度解说，让故事里的事，不只是故事！,//space.bilibili.com/594987220
小龍说影视,6713,951,我与往事归于尽，来年依旧迎花开！,//space.bilibili.com/318546033
散说影视,6642,168,用计算机的思维走进0和1的世界,//space.bilibili.com/1192272131
锦鲤说影,6455,1,,//space.bilibili.com/608153650
七哥说影,8143,10,一起看电影，电影一起看，谢谢官方,//space.bilibili.com/3546702818577279
斯人说影,8139,12,剪点喜欢的,//space.bilibili.com/1200826649
猫爸说影,8112,186,主页都是美女剪辑，喜欢的朋友给个关注人生自有命,//space.bilibili.com/1975522349
星空说影,8091,618,,//space.bilibili.com/1443899482
深蓝说影,7815,929,一部电影|一个故事感恩遇见|感谢有你,//space.bilibili.com/3494367660608176
晓义说影娱,7337,551,闷声大发财。,//space.bilibili.com/1814609010
神鹰说影视,7112,151,,//space.bilibili.com/2022192619
阿柒说影,7100,457,风格不定每一帧都是热爱?如果有你喜欢的电影就关注我吧,//space.bilibili.com/3546852156770311
糖豆说影视,6716,38,专注于深度解说，让故事里的事，不只是故事！,//space.bilibili.com/594987220
小龍说影视,6713,951,我与往事归于尽，来年依旧迎花开！,//space.bilibili.com/318546033
散说影视,6642,168,用计算机的思维走进0和1的世界,//space.bilibili.com/1192272131
锦鲤说影,6455,1,,//space.bilibili.com/608153650
阿永说影视,6300,2496,分享更多精彩视频片段片段片段，剧名评论区可见，感谢大家关注点赞与支撑,//space.bilibili.com/1140889293
奇弹说影,5834,59,王莽谦恭未篡时,//space.bilibili.com/1511231868
舟康说影视,5800,350,陪你一起看电影,//space.bilibili.com/521383650
云歌说影,5664,494,每天更新有趣的电影幕后故事,//space.bilibili.com/418208152
放歌说影,5620,242,欧洲极品重低音，伊泰洛动感纯音，荷东猛士金曲,//space.bilibili.com/1664792532
肖央说影视,5392,131,爱影视，爱生活！专注原创影视解说，带给你不一样的观影感受。,//space.bilibili.com/487192558
毒说影视,5015,160,探索无限可能，与电影共创奇迹！,//space.bilibili.com/178790553
晴天说影视,4965,1479,,//space.bilibili.com/3537112538286972
瓜哥趣说影,4500,1828,,//space.bilibili.com/1975908331
阿风说影视,4343,315,推理、解读、预测剧情！,//space.bilibili.com/668569752
菜鸡解说影视,4266,284,持续更新最新影视，每天一部电影，总有一部适合你，想看原片可私信,//space.bilibili.com/3546766968359597
时说影漫,4126,130,分享最新影视，解说好看好剧?类型:科幻、漫威、DC、短片。创作不易，你的点赞+关注是我更新的动力?,//space.bilibili.com/24383161
夏夏说影,3923,253,互赞互粉必回奥,//space.bilibili.com/1158082826
渔鸥说影,3903,1283,记住我！,//space.bilibili.com/1519795074
柒梦说影,3730,296,关注我看更多精彩内容,//space.bilibili.com/1898286645
朴姐说影,3723,66,专注日剧韩剧,//space.bilibili.com/490189397
旋风说影,3702,516,用心解读每一部电影,//space.bilibili.com/521684699
听风说影视,3640,391,看百部电影品百味人生,//space.bilibili.com/1080055745
老李说影视666,3622,321,,//space.bilibili.com/3493139142674778
崔判官说影,3584,33,谢谢大家的关注,//space.bilibili.com/3493083689781683
西门庆说影视,3317,377,各位客官里面坐！这里有怪兽、异形、外星人、僵尸、丧尸、鬼等等，请问你想吃哪一个？,//space.bilibili.com/17675257
阿部说影,3288,46,超良心up，关注一波吧！,//space.bilibili.com/627146180
白泽说影,3223,221,如果你对这个世界有太多的抱怨请你打开电视看看多少人为生命在努力勇敢的走下去我们是不是该知足,//space.bilibili.com/1280349812
雅宝说影,3217,17,,//space.bilibili.com/3493265187802030
夏夏说影,3923,253,互赞互粉必回奥,//space.bilibili.com/1158082826
渔鸥说影,3903,1283,记住我！,//space.bilibili.com/1519795074
柒梦说影,3730,296,关注我看更多精彩内容,//space.bilibili.com/1898286645
朴姐说影,3723,66,专注日剧韩剧,//space.bilibili.com/490189397
旋风说影,3702,516,用心解读每一部电影,//space.bilibili.com/521684699
听风说影视,3640,391,看百部电影品百味人生,//space.bilibili.com/1080055745
老李说影视666,3622,321,,//space.bilibili.com/3493139142674778
崔判官说影,3584,33,谢谢大家的关注,//space.bilibili.com/3493083689781683
西门庆说影视,3317,377,各位客官里面坐！这里有怪兽、异形、外星人、僵尸、丧尸、鬼等等，请问你想吃哪一个？,//space.bilibili.com/17675257
阿部说影,3288,46,超良心up，关注一波吧！,//space.bilibili.com/627146180
白泽说影,3223,221,如果你对这个世界有太多的抱怨请你打开电视看看多少人为生命在努力勇敢的走下去我们是不是该知足,//space.bilibili.com/1280349812
雅宝说影,3217,17,,//space.bilibili.com/3493265187802030
晨曦说影视,3206,447,影视是人类最伟大的造梦机器！,//space.bilibili.com/1338142374
橙橙解说影音,3137,226,评论区告诉我想看什么吧！！！合集，片段，整剧希望大家三连支持一下吧！！！❤️❤️❤️你们就是我日更最大的动力。,//space.bilibili.com/3493125437786707
漫步爱说影t,3096,58,感谢关注！学习，交流请私信。,//space.bilibili.com/3493077897447614
灵动说影,3086,921,人生就像一部电影，我们都在其中放映着,//space.bilibili.com/1565190171
老钟说影,3020,48,说电影，我是认真的！,//space.bilibili.com/1110492001
旭说影视,3015,88,,//space.bilibili.com/327691002
今日说影,2994,337,生活就像是电影要么平凡优雅要么精彩不可一世蝎子侃电影感谢您的支持和关注,//space.bilibili.com/1376575566
木易说影视x,2961,74,未开通激励盈利随便发兴趣爱好如有侵权联删,//space.bilibili.com/3546873600149849
白鹤说影,2957,891,每天为各位大哥大姐，分享最清晰最有意思的电影。,//space.bilibili.com/1574515066
扬扬说影视,2816,68,热爱动漫，喜欢剪辑动漫的新萌UP主关注我，带你用全新视角看动漫。尊重版权，尊重原创，如有侵权，请联系删除。,//space.bilibili.com/492030809
晓剑说影,2782,634,商务合作：tlweixin003,//space.bilibili.com/1207453653
大鱼说影视,2777,42,发觉入灵魂的精美故事品味真性情的奇幻人生,//space.bilibili.com/25279099
陈同学说影,2681,1112,三餐四季，一言难尽，不能自愈，让电影的力量治愈你。关注我，这里是陈同学的情感码头商务合作，请联系参与我的剪辑，授人以渔。,//space.bilibili.com/645943827
毅说影视,2672,392,每天一个“奇葩”小电影！一起快乐就完事了。记得点点小关注,//space.bilibili.com/3461571558770880
胖达说影视,2656,82,解说经典电视剧,//space.bilibili.com/81424863
猎奇说影啊,2617,136,认真讲好每一个故事，品味百态人生，共享光影魅力！,//space.bilibili.com/1796644024
哇塞说影剧,2613,100,看哇塞的影剧，有哇塞的心情,//space.bilibili.com/1786139415
上路说影,2580,122,每日一分钟，轻松了解汽车。汽车有问题，糖果为你解答。,//space.bilibili.com/1450891936
大仙说影,2571,173,复刻合作➕lxzd007橱窗有好物,//space.bilibili.com/3493278064314926
浏佰说影视,2562,182,用心讲好故事。喜欢请关注点赞投币哦。日更,//space.bilibili.com/3546568791689255
夜半说影,2544,661,人生如戏，好电影就是一部精彩的戏！,//space.bilibili.com/290520422
能能说影剧,2509,160,《1000部》剧情片来袭～因为是日更~所以分段解说~想看下一集的~劳驾去主页合集里看~感谢支持~,//space.bilibili.com/1370127327
九叔说影,2502,666,,//space.bilibili.com/1625688194
9度说影视,2474,90,专注影视解说,//space.bilibili.com/1195153045
陈同学说影,2681,1112,三餐四季，一言难尽，不能自愈，让电影的力量治愈你。关注我，这里是陈同学的情感码头商务合作，请联系参与我的剪辑，授人以渔。,//space.bilibili.com/645943827
毅说影视,2672,392,每天一个“奇葩”小电影！一起快乐就完事了。记得点点小关注,//space.bilibili.com/3461571558770880
胖达说影视,2656,82,解说经典电视剧,//space.bilibili.com/81424863
猎奇说影啊,2617,136,认真讲好每一个故事，品味百态人生，共享光影魅力！,//space.bilibili.com/1796644024
哇塞说影剧,2613,100,看哇塞的影剧，有哇塞的心情,//space.bilibili.com/1786139415
上路说影,2580,122,每日一分钟，轻松了解汽车。汽车有问题，糖果为你解答。,//space.bilibili.com/1450891936
大仙说影,2571,173,复刻合作➕lxzd007橱窗有好物,//space.bilibili.com/3493278064314926
浏佰说影视,2562,182,用心讲好故事。喜欢请关注点赞投币哦。日更,//space.bilibili.com/3546568791689255
夜半说影,2544,661,人生如戏，好电影就是一部精彩的戏！,//space.bilibili.com/290520422
能能说影剧,2509,160,《1000部》剧情片来袭～因为是日更~所以分段解说~想看下一集的~劳驾去主页合集里看~感谢支持~,//space.bilibili.com/1370127327
九叔说影,2502,666,,//space.bilibili.com/1625688194
9度说影视,2474,90,专注影视解说,//space.bilibili.com/1195153045
可乐说影a,2456,397,“不是每一次努力都有收获但每一次收获都必须努力”,//space.bilibili.com/323062969
小哥说影,2449,1746,,//space.bilibili.com/1505838627
卡线磁带-说影视,2446,1140,一个超喜欢恐怖片，但又超害怕恐怖片的人。,//space.bilibili.com/403094973
若木鱼说影,2419,13,主打恐怖惊悚，专治失眠多梦，喜欢的宝子点个关注吧,//space.bilibili.com/3546823075563541
奇熊说影,2361,529,,//space.bilibili.com/474083209
王歌说影,2322,66,专注影视类解说多谢大家得关注,//space.bilibili.com/671644208
众说影视,2311,269,历史专业出身，历史影视爱好者。感谢关注，带你重温那段让人无法忘怀的抗战岁月。,//space.bilibili.com/3493265217161423
小影解说影视,2310,1907,用心解读每一部电影,//space.bilibili.com/3461572452158010
竹子说影视,2306,47,,//space.bilibili.com/1956668031
飞人解说影视,2261,497,手持青龙戒指，心系优质大片,//space.bilibili.com/266214474
红哥说影视,2166,782,分享优秀的影视作品！,//space.bilibili.com/1722126338
头号说影,2158,348,妹妹带你看剧,//space.bilibili.com/1952388959
毒说影视汇,2144,203,,//space.bilibili.com/3493122218658267
佳哥说影,2132,130,感谢关注，定期分享,//space.bilibili.com/2084357799
东乐说影,2132,171,,//space.bilibili.com/1827975037
瓦力说影,2089,41,孤独没什么不好孤独的时候看世界会比较清楚,//space.bilibili.com/1859989963
小志说影,2085,483,,//space.bilibili.com/2017314255
说影旅人,2080,465,,//space.bilibili.com/35767744
江源说影,1966,123,,//space.bilibili.com/3493130999433679
小宇解说影视,1922,1932,直播时间9点-12点3点-5点半晚上不定时播三国服打野选手，每天带粉上分游戏解说上分vx：wg35769Q：490759802,//space.bilibili.com/1706167093
影子爱说影,1892,63,每一部电影都有一个不为人知的“影子”,//space.bilibili.com/1345107603
大宇说影_bili,1889,65,坚持做自己喜欢的事也是一种乐趣,//space.bilibili.com/423207492
24说影视,1888,148,,//space.bilibili.com/3493115696515893
港港说影视,1879,639,,//space.bilibili.com/1623058235
毒说影视汇,2144,203,,//space.bilibili.com/3493122218658267
佳哥说影,2132,130,感谢关注，定期分享,//space.bilibili.com/2084357799
东乐说影,2132,171,,//space.bilibili.com/1827975037
瓦力说影,2089,41,孤独没什么不好孤独的时候看世界会比较清楚,//space.bilibili.com/1859989963
小志说影,2085,483,,//space.bilibili.com/2017314255
说影旅人,2080,465,,//space.bilibili.com/35767744
江源说影,1966,123,,//space.bilibili.com/3493130999433679
小宇解说影视,1922,1932,直播时间9点-12点3点-5点半晚上不定时播三国服打野选手，每天带粉上分游戏解说上分vx：wg35769Q：490759802,//space.bilibili.com/1706167093
影子爱说影,1892,63,每一部电影都有一个不为人知的“影子”,//space.bilibili.com/1345107603
大宇说影_bili,1889,65,坚持做自己喜欢的事也是一种乐趣,//space.bilibili.com/423207492
24说影视,1888,148,,//space.bilibili.com/3493115696515893
港港说影视,1879,639,,//space.bilibili.com/1623058235
晗说影视W,1865,69,,//space.bilibili.com/3546593422739490
长情说影,1811,293,用心看电影专心讲电影感谢关注,//space.bilibili.com/416745818
醉爱说影,1802,254,给你讲述各种荒诞离奇的电影，带你领略电影的无穷魅力,//space.bilibili.com/321776783
阿狗说影片,1757,187,人生如梦岁月如歌愿我们都能很快乐,//space.bilibili.com/3493261226281372
樱白说影,1732,36,是个宝藏up,//space.bilibili.com/3546664547649713
云上爱说影,1716,290,分享好电影,//space.bilibili.com/510354246
是如果说影,1648,178,,//space.bilibili.com/3493114647939722
解光说影-新片推荐官,1617,170,影视，历史，纪录片，人物，娱乐,//space.bilibili.com/1427798819
大亿说影,1595,392,原创电影解说员，为您打造别具特色的电影解说！,//space.bilibili.com/1544396393
大怂包解说影,1541,34,,//space.bilibili.com/3493115266599840
女小丑说影,1522,15,互,//space.bilibili.com/3546889060355015
懒猫说影,1520,71,一只小懒猫！,//space.bilibili.com/3494350132611740
小猛说影视,1516,116,热爱影视，分享好的影视剧,//space.bilibili.com/1385844554
董哥说影视,1488,490,侵联删,//space.bilibili.com/3546824314980686
泡沫说影视,1482,527,感谢大家的关注，每天不定时更新精彩内容！,//space.bilibili.com/1696231731
老谢说影视,1473,65,,//space.bilibili.com/1288422444
王子说影视,1460,278,尊重作品，推荐优质电影,//space.bilibili.com/1815818123
指尖说影视,1432,642,每天为你推荐好剧！每一集都是原创解说哟！,//space.bilibili.com/1668658507
韦小宝说影,1425,26,做人要做韦小宝~,//space.bilibili.com/3546920523925942
小7午夜说影,1408,29,讲述香港老电影和各种恐怖电影的频道，感谢您的观看和关注,//space.bilibili.com/3546380079466616
可爱说影,1386,201,,//space.bilibili.com/3546859146578317
萝卜头说影视,1384,410,希望大家喜欢我的作品，多多点赞，爱你们呦~,//space.bilibili.com/2131028946
小乔说影视,1381,1236,素材来源于网络，如有侵权，请联系删除,//space.bilibili.com/2084044603
老徐说影,1371,54,于千万人之中遇见你是我的荣幸！,//space.bilibili.com/578849647
小猛说影视,1516,116,热爱影视，分享好的影视剧,//space.bilibili.com/1385844554
董哥说影视,1488,490,侵联删,//space.bilibili.com/3546824314980686
泡沫说影视,1482,527,感谢大家的关注，每天不定时更新精彩内容！,//space.bilibili.com/1696231731
老谢说影视,1473,65,,//space.bilibili.com/1288422444
王子说影视,1460,278,尊重作品，推荐优质电影,//space.bilibili.com/1815818123
指尖说影视,1432,642,每天为你推荐好剧！每一集都是原创解说哟！,//space.bilibili.com/1668658507
韦小宝说影,1425,26,做人要做韦小宝~,//space.bilibili.com/3546920523925942
小7午夜说影,1408,29,讲述香港老电影和各种恐怖电影的频道，感谢您的观看和关注,//space.bilibili.com/3546380079466616
可爱说影,1386,201,,//space.bilibili.com/3546859146578317
萝卜头说影视,1384,410,希望大家喜欢我的作品，多多点赞，爱你们呦~,//space.bilibili.com/2131028946
小乔说影视,1381,1236,素材来源于网络，如有侵权，请联系删除,//space.bilibili.com/2084044603
老徐说影,1371,54,于千万人之中遇见你是我的荣幸！,//space.bilibili.com/578849647
浩歌说影,1369,190,,//space.bilibili.com/3493112020208577
一一小明说影,1353,75,影视片段，分享精彩好剧，一起来看吧,//space.bilibili.com/404842478
峰哥哥说影,1344,191,每日跟新优质动漫作品，期待你的点评,//space.bilibili.com/2097991195
毛说影娱,1342,544,给你讲不一样的故事,//space.bilibili.com/2077903293
飞鸟说影-,1338,430,,//space.bilibili.com/3493082995624809
囡囡说影,1328,42,已关请回随时检查清理,//space.bilibili.com/3493261771540920
中意说影,1316,390,中意说影,//space.bilibili.com/3546827622189795
虎妞说影,1303,166,,//space.bilibili.com/3546392356195114
翱翔说影,1301,201,,//space.bilibili.com/3493113182030535
传说影视,1297,154,带你全球观影,//space.bilibili.com/486847888
吖杰说影视,1276,72,,//space.bilibili.com/1083129888
飞鱼说影,1270,190,,//space.bilibili.com/3546861493291739
小白说影哇,1262,9,,//space.bilibili.com/1267184377
闹闹说影,1253,8,已关请回随时检查清理,//space.bilibili.com/3546787665152877
胡茬说影视,1244,379,看一部电影，体验一次别样人生,//space.bilibili.com/1634877284
老张说影剧A,1241,99,你我相遇就是有缘，专注影剧解说文稿创作，喜欢看历史经典影剧，深挖背后不为人知的故事。,//space.bilibili.com/1925922960
仓鼠说影,1239,42,小小鼠~,//space.bilibili.com/3546922006612030
蒲公英说影,1224,437,,//space.bilibili.com/3493083519912696
杨叔说影,1221,339,,//space.bilibili.com/3546792442465246
阿彬说影视,1217,161,,//space.bilibili.com/1691980699
专心说影,1199,39,专心做影视解说！,//space.bilibili.com/3546921285191826
倒霉叔说影视,1191,716,,//space.bilibili.com/1967327383
风风说影视,1166,64,。。。。,//space.bilibili.com/1507574969
小金金说影,1160,24,希望世界和平,//space.bilibili.com/3546925863275164
小白说影哇,1262,9,,//space.bilibili.com/1267184377
闹闹说影,1253,8,已关请回随时检查清理,//space.bilibili.com/3546787665152877
胡茬说影视,1244,379,看一部电影，体验一次别样人生,//space.bilibili.com/1634877284
老张说影剧A,1241,99,你我相遇就是有缘，专注影剧解说文稿创作，喜欢看历史经典影剧，深挖背后不为人知的故事。,//space.bilibili.com/1925922960
仓鼠说影,1239,42,小小鼠~,//space.bilibili.com/3546922006612030
蒲公英说影,1224,437,,//space.bilibili.com/3493083519912696
杨叔说影,1221,339,,//space.bilibili.com/3546792442465246
阿彬说影视,1217,161,,//space.bilibili.com/1691980699
专心说影,1199,39,专心做影视解说！,//space.bilibili.com/3546921285191826
倒霉叔说影视,1191,716,,//space.bilibili.com/1967327383
风风说影视,1166,64,。。。。,//space.bilibili.com/1507574969
小金金说影,1160,24,希望世界和平,//space.bilibili.com/3546925863275164
零零说影视,1158,319,,//space.bilibili.com/1642762723
茄子说影,1151,644,Ta已经关注了你！,//space.bilibili.com/1023083052
爱情说影,1144,40,爱情电影不说爱,//space.bilibili.com/3546922000321099
十一说影,1142,196,,//space.bilibili.com/3493089687636143
迷糊说影视,1139,191,迷糊说影视,//space.bilibili.com/3546827609606880
阿夜说影,1134,167,感谢你的关注,//space.bilibili.com/3546886399068337
斯坦说影,1130,109,不妨点个关注再走吧！,//space.bilibili.com/3546888345226181
梅姐说影,1122,3,谢谢关注,//space.bilibili.com/3546939096303701
汪仔说影,1120,108,一只会电影解说的小狗砸,//space.bilibili.com/3546871849028177
阿浪说影,1119,71,17岁少年的青春！,//space.bilibili.com/3546890790505396
牛马说影,1113,84,小小牛马，勇闯自媒体！,//space.bilibili.com/3546890792601773
楠风说影,1112,345,,//space.bilibili.com/3546824325466208
辣么说影视,1109,392,,//space.bilibili.com/8394354
沐云说影,1107,330,沐云说影,//space.bilibili.com/3546824348535392
金金说影,1105,25,祝各位观众老爷发财暴富！,//space.bilibili.com/3546888152287937
北说影视,1102,119,,//space.bilibili.com/1086599315
清风说影,1098,121,关注我，带你看不一样的电影,//space.bilibili.com/3546871849028298
阿尘説影,1097,61,感谢您的支持与关注！素材来源于网络！侵权私删！,//space.bilibili.com/453935835
豪哥说影,1095,3,谢谢关注！,//space.bilibili.com/3546939161315771
小米说影,1080,106,,//space.bilibili.com/3546861503777508
夜明说影,1079,68,兄dei看片么，我是夜明专注高分优秀动画解说，还差99年成为百年解说老字号，尽力一周两更，发掘好片子说出深藏其中的爱恨情仇,//space.bilibili.com/272039347
海海说影视,1069,113,不定期更新感谢支持*⁂((✪⥎✪))⁂*,//space.bilibili.com/3494373079648683
小说影视剧,1066,4,影视剪辑社会杂谈,//space.bilibili.com/1544236884
去说影视,1059,489,专注电视剧解说，电影解说！每天分享精彩影视！,//space.bilibili.com/1325616502
辣么说影视,1109,392,,//space.bilibili.com/8394354
沐云说影,1107,330,沐云说影,//space.bilibili.com/3546824348535392
金金说影,1105,25,祝各位观众老爷发财暴富！,//space.bilibili.com/3546888152287937
北说影视,1102,119,,//space.bilibili.com/1086599315
清风说影,1098,121,关注我，带你看不一样的电影,//space.bilibili.com/3546871849028298
阿尘説影,1097,61,感谢您的支持与关注！素材来源于网络！侵权私删！,//space.bilibili.com/453935835
豪哥说影,1095,3,谢谢关注！,//space.bilibili.com/3546939161315771
小米说影,1080,106,,//space.bilibili.com/3546861503777508
夜明说影,1079,68,兄dei看片么，我是夜明专注高分优秀动画解说，还差99年成为百年解说老字号，尽力一周两更，发掘好片子说出深藏其中的爱恨情仇,//space.bilibili.com/272039347
海海说影视,1069,113,不定期更新感谢支持*⁂((✪⥎✪))⁂*,//space.bilibili.com/3494373079648683
小说影视剧,1066,4,影视剪辑社会杂谈,//space.bilibili.com/1544236884
去说影视,1059,489,专注电视剧解说，电影解说！每天分享精彩影视！,//space.bilibili.com/1325616502
阳阳说影剧,1057,612,批判的武器代替不了武器的批判,//space.bilibili.com/93961348
大话说影,1054,70,大话西游~,//space.bilibili.com/3546896641558780
解说影视250,1051,5,终极目标成为川菜大师……，想让大家知道川菜不仅仅只是辣,//space.bilibili.com/65689957
狮子元芳说影视,1036,11,谢谢大家的关注和支持,//space.bilibili.com/1292873179
爱情说影86,1030,8,,//space.bilibili.com/3546931814992084
仓鼠说影71,1025,9,,//space.bilibili.com/3546931907266869
华少说影,1025,122,电影解说,//space.bilibili.com/1102732265
贝乐说影,1012,61,每天带给你不一样的快乐,//space.bilibili.com/1883781462
林风说影,1006,2,感谢有你!,//space.bilibili.com/3546939087915185
董哥说影,998,50,,//space.bilibili.com/86492925
墨守说影,969,27,恢复更新冲一个月看结果如何,//space.bilibili.com/8132531
阿磊说影互关互赞,947,20,,//space.bilibili.com/3461570455669089
弋说影视,932,319,好看的电视剧你值得去看,//space.bilibili.com/1551603254
小帅说影视,919,452,,//space.bilibili.com/3493082905446897
浩城说影,908,61,专注影视解说，感谢大家支持！,//space.bilibili.com/3546755037661939
